tahun,nama_kabupaten_kota,jumlah_investasi,pengeluaran_per_kapita,eksport_per_kapita,import_per_kapita,Pendapatan Daerah per kapita
2010.00,KABUPATEN BEKASI,20134824680000.00,9880864430000.00,4304247395000.00,1252580005000.00,33067356500000.00
2011.00,KABUPATEN BEKASI,26038237750000.00,9945864430000.00,4735345950000.00,1344476970000.00,39374971160000.00
2012.00,KABUPATEN BEKASI,30023244730823.10,10040864430000.00,5278986030000.00,1552212855000.00,43790882335823.10
2013.00,KABUPATEN BEKASI,28762936590000.00,10207864430000.00,5759402145000.00,1252006545000.00,43478196620000.00
2014.00,KABUPATEN BEKASI,24386794650000.00,10231864430000.00,5554676925000.00,1293439030000.00,38879896975000.00
2015.00,KABUPATEN BEKASI,28039438750000.00,10322864430000.00,5356833225000.00,1324262505000.00,42394873900000.00
2016.00,KABUPATEN BEKASI,41365144730823.10,10435864430000.00,5909935395000.00,1409708045000.00,56301236510823.10
2017.00,KABUPATEN BEKASI,26442936590000.00,10790864430000.00,6506190430000.00,1474795755000.00,42265195695000.00
2018.00,KABUPATEN BEKASI,39056638848411.50,86443000011155.00,6088854915000.00,1461892905000.00,130126600869566.00
2019.00,KABUPATEN BEKASI,27152530850601.40,11610864430000.00,5787645050000.00,1367702100000.00,43183338230601.40
2020.00,KABUPATEN BEKASI,25912458957937.80,11241864430000.00,5717396200000.00,1784894250000.00,41086825337937.80
2021.00,KABUPATEN BEKASI,31485980177220.60,11341864430000.00,6267917800000.00,1786327900000.00,47309434507220.60
